timestamp,gesture_action,Latency,CPU Utilization
2026-05-23T12:26:04.875+08:00,Right-click,0.000042,18.8838
2026-05-23T12:26:06.226+08:00,Cursor movement,0.000046,17.4638
2026-05-23T12:26:06.472+08:00,Left-click,0.000062,14.5923
2026-05-23T12:38:12.802+08:00,Cursor movement,0.000070,9.4595
2026-05-23T12:38:15.496+08:00,Left-click,0.000058,11.9177
2026-05-23T12:38:19.232+08:00,Zoom gestures,0.000122,10.3896
2026-05-23T12:38:24.686+08:00,Zoom gestures,0.000114,6.5411
2026-05-23T12:38:25.702+08:00,Right-click,0.000056,13.0352
2026-05-23T12:38:30.316+08:00,Pinch gestures,0.000061,8.8325
2026-05-23T12:38:35.635+08:00,Drag and drop,0.000058,10.1167
2026-05-23T12:38:47.152+08:00,Double click,0.000082,7.3211
2026-05-23T12:38:52.834+08:00,Right-click,0.000066,15.5906
2026-05-23T12:43:37.019+08:00,Pinch gestures,0.000061,10.4654
2026-05-23T13:17:30.582+08:00,Cursor movement,0.000070,10.4672
2026-05-23T13:17:32.029+08:00,Left-click,0.000071,16.6109
2026-05-23T13:17:33.793+08:00,Double click,0.000067,13.1766
2026-05-23T13:17:34.814+08:00,Cursor movement,0.000066,10.9295
2026-05-23T13:17:41.508+08:00,Right-click,0.000069,12.1437
2026-05-23T13:17:42.523+08:00,Cursor movement,0.000063,8.5271
2026-05-23T13:17:43.538+08:00,Right-click,0.000057,10.0962
2026-05-23T13:17:44.473+08:00,Cursor movement,0.000071,12.8898
2026-05-23T13:17:45.564+08:00,Left-click,0.000067,14.1704
2026-05-23T13:17:52.977+08:00,Zoom gestures,0.000117,12.2137
2026-05-23T13:17:54.615+08:00,Right-click,0.000104,11.4949
2026-05-23T13:17:59.319+08:00,Pinch gestures,0.000067,17.7759
2026-05-23T13:18:26.816+08:00,Cursor movement,0.000069,14.2837
2026-05-23T13:18:33.025+08:00,Pinch gestures,0.000082,15.0211
2026-05-23T13:18:57.013+08:00,Zoom gestures,0.000115,12.8157
2026-05-23T13:18:58.434+08:00,Right-click,0.000059,10.5405
2026-05-23T13:19:01.699+08:00,Cursor movement,0.000072,12.7136
2026-05-23T13:19:08.885+08:00,Left-click,0.000070,11.8118
2026-05-23T13:38:03.688+08:00,Cursor movement,0.000070,9.6431
2026-05-23T13:38:40.357+08:00,Left-click,0.000070,12.6715
2026-05-23T13:38:41.196+08:00,Right-click,0.000057,18.5142
2026-05-23T13:39:35.814+08:00,Cursor movement,0.000067,11.5446
2026-05-23T13:39:36.649+08:00,Left-click,0.000056,12.5144
2026-05-23T13:39:37.440+08:00,Right-click,0.000064,12.2630
2026-05-23T13:40:06.309+08:00,Cursor movement,0.000066,12.5269
2026-05-23T13:40:08.713+08:00,Left-click,0.000076,11.4146
2026-05-23T13:54:09.511+08:00,Drag and drop,0.000062,11.5712
